2010-01-01,中國 最美 護士,5000
2010-01-01,大悲 咒 諷 馬,5000
2010-01-01,元 超 國際,5000
2010-01-01,汪 曉 君,3950
2010-01-01,葉 秀 玲,3500
2010-01-01,電 玩 快 打,2800
2010-01-01,女 憲兵,450
2010-01-01,安心 亞,250
2010-01-01,獸 血 沸騰,250
2010-01-01,摸 摸 耳,200
2010-01-01,verycd,200
2010-01-01,ut,170
2010-01-01,摩爾 莊園,170
2010-01-01,緯 來 日本 台,160
2010-01-01,射手 網,160
2010-01-01,大 樂 透 中獎 號碼 查詢,150
2010-01-01,開眼,140
2010-01-01,yahoomail,140
2010-01-01,pchome 購物,140
2010-01-01,遊戲 天堂,130
2010-01-01,迅雷,120
2010-01-01,591,110
2010-01-01,youtube.com,100
2010-01-02,元 超 科技,5000
2010-01-02,元 超 科技 公司,5000
2010-01-02,大悲 咒 諷 馬,5000
2010-01-02,艾 薩 克 牛頓,5000
2010-01-02,pchome 購物,300
2010-01-02,杜 拜 塔,300
2010-01-02,信義 房屋,300
2010-01-02,統一 發票 中獎 號碼 單,200
2010-01-02,東森 購物,130
2010-01-02,露天 拍賣,120
2010-01-02,安心 亞,120
2010-01-02,momo,100
2010-01-02,kmplayer,100
2010-01-02,食 尚 玩 家,100
2010-01-02,手機 王,100
2010-01-03,艾 薩 克 牛頓,5000
2010-01-03,冷靜,5000
2010-01-03,奶茶 妹,5000
2010-01-03,李 碧 華,5000
2010-01-03,搬家 公司 lifeshow,4500
2010-01-03,煩人 的 橘子,2850
2010-01-03,w32.noobert,2450
2010-01-03,華 倫比 提,2450
2010-01-03,金 石堂 網 路 書店,2400
2010-01-03,一點 絕,1600
2010-01-03,章 澤 天,750
2010-01-03,倒 吊 子,750
2010-01-03,元 超 科技 公司,700
2010-01-03,安心 亞,700
2010-01-03,杜 拜 塔,600
2010-01-03,海派 甜心,300
2010-01-03,7-11,250
2010-01-03,台灣 高 鐵,200
2010-01-03,新光 銀行,160
2010-01-03,nexus one,160
2010-01-03,台灣 大學,160
2010-01-03,下 一 站 幸福,130
2010-01-03,中國 信託,130
2010-01-03,nba,110
2010-01-03,華 航,110
2010-01-04,林 書 豪,5000
2010-01-04,倒 吊 子,5000
2010-01-04,芭 莉 絲 希 爾 頓 洗澡,5000
2010-01-04,小 茶,5000
2010-01-04,勞保 局,5000
